n u uR uL e
404.0 450.250500794 122.0 -122.0 -63.0
405.0 287.502626022 70.0 -70.0 76.0
406.0 51.4309899468 -4.0 4.0 184.0
407.0 -198.28558502 -76.0 76.0 223.0
408.0 -397.757892444 -124.0 124.0 218.0
409.0 -495.273903187 -142.0 142.0 184.0
410.0 -464.888242944 -129.0 129.0 97.0
411.0 -313.601057566 -82.0 82.0 -63.0
412.0 -80.0784209511 -3.0 3.0 -177.0
413.0 174.972899694 70.0 -70.0 -236.0
414.0 384.454394877 124.0 -124.0 -215.0
415.0 492.554663077 141.0 -141.0 -175.0
416.0 469.798537053 128.0 -128.0 -81.0
417.0 321.367064065 80.0 -80.0 52.0
418.0 86.2740143728 6.0 -6.0 166.0
419.0 -172.616339492 -67.0 67.0 226.0
420.0 -385.256621388 -122.0 122.0 223.0
421.0 -493.393968691 -143.0 143.0 208.0
422.0 -466.715115892 -134.0 134.0 99.0
423.0 -311.639624083 -82.0 82.0 -38.0
424.0 -70.1395769779 -6.0 6.0 -173.0
425.0 191.341716183 72.0 -72.0 -222.0
426.0 400.030877882 124.0 -124.0 -188.0
427.0 497.116804185 137.0 -137.0 -172.0
428.0 454.530828997 125.0 -125.0 -66.0
429.0 283.375698197 69.0 -69.0 53.0
430.0 31.3952597647 -4.0 4.0 139.0
431.0 -230.068901228 -73.0 73.0 213.0
432.0 -426.15585027 -127.0 127.0 182.0
433.0 -499.988057826 -136.0 136.0 166.0
434.0 -429.408437049 -119.0 119.0 52.0
435.0 -233.96490713 -57.0 57.0 -84.0
436.0 30.141004555 22.0 -22.0 -175.0
437.0 285.958410765 92.0 -92.0 -219.0
438.0 458.125447647 135.0 -135.0 -190.0
439.0 495.187327 137.0 -137.0 -128.0
440.0 385.256621388 102.0 -102.0 -16.0
441.0 160.17423354 35.0 -35.0 81.0
442.0 -113.359651617 -38.0 38.0 168.0
443.0 -353.331176672 -104.0 104.0 180.0
444.0 -486.98007083 -133.0 133.0 171.0
445.0 -473.042679414 -128.0 128.0 97.0
446.0 -314.822932985 -82.0 82.0 -36.0
447.0 -59.8604915421 -4.0 4.0 -147.0
448.0 214.02601143 72.0 -72.0 -190.0
449.0 422.33221436 122.0 -122.0 -185.0
450.0 500.0 137.0 -137.0 -172.0
451.0 421.995544478 118.0 -118.0 -39.0
452.0 211.751935408 50.0 -50.0 53.0
453.0 -65.4707381046 -23.0 23.0 139.0
454.0 -322.568846488 -92.0 92.0 169.0
455.0 -477.896507399 -129.0 129.0 141.0
456.0 -481.355317778 -124.0 124.0 96.0
457.0 -330.89152172 -85.0 85.0 -19.0
458.0 -73.8701822184 -10.0 10.0 -128.0
459.0 207.473667804 67.0 -67.0 -185.0
460.0 422.163962751 121.0 -121.0 -188.0
461.0 499.956475676 137.0 -137.0 -128.0
462.0 414.596848173 108.0 -108.0 -36.0
463.0 193.081824254 45.0 -45.0 76.0
464.0 -92.4559841276 -33.0 33.0 167.0
465.0 -347.956398296 -102.0 102.0 164.0
466.0 -488.366102834 -130.0 130.0 137.0
467.0 -466.149276393 -120.0 120.0 97.0
468.0 -287.759598568 -76.0 76.0 -38.0
469.0 -12.2509852116 5.0 -5.0 -126.0
470.0 267.91339749 78.0 -78.0 -176.0
471.0 457.747072761 126.0 -126.0 -175.0
472.0 492.060672273 133.0 -133.0 -126.0
473.0 358.187505972 96.0 -96.0 26.0
474.0 101.085995765 15.0 -15.0 97.0
475.0 -191.341716183 -57.0 57.0 164.0
476.0 -418.076078787 -116.0 116.0 169.0
477.0 -499.916998923 -133.0 133.0 141.0
478.0 -407.442537747 -109.0 109.0 52.0
479.0 -172.026515653 -44.0 44.0 -62.0
480.0 124.344943582 37.0 -37.0 -145.0
481.0 377.331888412 104.0 -104.0 -173.0
